full_name,rating,total_ratings,business_category,price_range,address,phone,website,review_topics,latitude,longitude
Bill's Glasgow Restaurant,4.2,"(1,217)",British restaurant,$$,"22-24 W Nile St, Glasgow G1 2PW, United Kingdom",+44 141 221 6883,bills-website.co.uk,"['brunch\n32', 'pancakes\n29', 'service charge\n12', 'morning\n10', 'avocado\n9', 'eggs benedict\n7', 'healthy food\n5', 'chicken burger\n5', 'poached eggs\n5', 'smile\n5']",55.8609857,-4.2551367
Gourmet Burger Kitchen,4.0,(835),Hamburger restaurant,$$,"65 St Vincent St, Glasgow G2 5TF, United Kingdom",+44 141 248 2037,gbk.co.uk,"['app\n13', 'gluten free\n7', 'sides\n7', 'onion rings\n7', 'discount\n6', 'coke\n6', 'table service\n5', 'student\n4', 'pesto\n3', 'quid\n3']",55.8611711,-4.2550096
Sapporo Teppanyaki Glasgow,4.5,"(1,099)",Japanese restaurant,$$$,"2-6 Ingram St, Glasgow G1 1HA, United Kingdom",+44 141 553 4060,sapporoglasgow.co.uk,"['entertaining\n90', 'experience\n61', 'birthday\n18', 'dining\n14', 'funny\n11', 'cocktails\n9', 'fried rice\n8', 'cooking show\n7', 'prawns\n7', 'voucher\n5']",55.8592454,-4.2419879
The Shenaz,4.6,(319),Indian restaurant,$$,"17 Granville St, Glasgow G3 7EE, United Kingdom",+44 141 221 8528,shenaz.co.uk,"['pakora\n12', 'curry house\n5', 'dining\n5', 'value\n5', 'waiting staff\n5', 'lamb\n4', 'disabled\n3', 'courses\n3', 'kids\n3', 'food, service\n3']",55.8651415,-4.2738803
Amarone,4.5,(691),Italian restaurant,$$,"2 Nelson Mandela Pl, Glasgow G2 1BT, United Kingdom",+44 141 333 1122,amaronerestaurant.co.uk,"['wine\n11', 'value\n7', 'anniversary\n5', 'dining\n5', 'toilets\n4', 'calzone\n4', 'christmas lunch\n3', 'basement\n3', 'vongole\n3', 'wedding\n3']",55.8622835,-4.2536657
Stereo,4.4,"(1,518)",Night club,$$,"22 Renfield Ln, Glasgow G2 5AR, United Kingdom",+44 141 222 2254,stereocafebar.com,"['vegan\n169', 'music venue\n39', 'pizza\n17', 'lunch\n16', 'cauliflower\n11', 'basement\n10', 'hipster\n8', 'soup\n7', 'fish and chips\n6', 'cheesecake\n5']",55.8610954,-4.2578907
NYC Bar & Grill,4.4,(467),Bar & grill,$$,"185 Hope St, Glasgow G2 2UL, United Kingdom",+44 141 353 2913,facebook.com,"['burgers\n58', 'cocktails\n39', 'fries\n15', 'hot dogs\n13', 'chicken wings\n11', 'value\n9', 'atmosphere\n8', 'choice\n5', 'money\n5', 'chilli\n4']",55.8630349,-4.258063
Côte Brasserie - Glasgow,4.5,(700),French restaurant,$$,"41-43 W Nile St, Glasgow G1 2PT, United Kingdom",+44 141 248 1022,cote.co.uk,"['value\n26', 'food and service\n13', 'steak\n12', 'cote\n9', 'choice\n8', 'evening\n8', 'brunch\n6', 'service charge\n5', 'tip\n5', 'wine list\n5']",55.861669,-4.2553
The Cow on the Hill STEAK & GRILL,4.0,(3),Restaurant,,"Holiday Inn Glasgow, East Kilbride, Stew G74 5LA, United Kingdom",+44 333 320 9328,hieastkilbride.com,[],55.7720543,-4.2266621
Sarti,4.5,(486),Italian restaurant,$$,"121 Bath St, Glasgow G2 2SZ, United Kingdom",+44 141 204 0440,sarti.co.uk,"['pasta\n13', 'atmosphere\n10', 'food and wine\n6', 'night\n6', 'book\n4', 'wine list\n4', 'glass\n4', 'shellfish\n3', 'vegetarian\n3', 'veal\n3']",55.864074,-4.259563
Bath Street Palomino,4.1,(235),Italian restaurant,$$,"207 Bath St, Glasgow G2 4HZ, United Kingdom",+44 141 221 9444,bathstreetpalomino.co.uk,"['burgers\n12', 'cocktails\n12', 'value\n7', 'toilets\n5', 'music\n4', 'atmosphere\n3', 'party\n3', 'soup\n3']",55.8645838,-4.2642375
The Citizen Glasgow,4.4,(821),Meat dish restaurant,$$,"24 St Vincent Pl, Glasgow G1 2EU, United Kingdom",+44 141 222 2909,thecitizenglasgow.co.uk,"['bar\n63', 'cocktails\n43', 'pint\n13', 'night\n13', 'atmosphere\n12', 'value\n11', 'lager\n9', 'party\n8', 'brunch\n5', 'afternoon\n5']",55.8612887,-4.2526931
The Chippy Doon The Lane,4.1,(655),Fish and seafood restaurant,$$,"84 Buchanan St, Glasgow G1 3AJ, United Kingdom",+44 141 225 6650,thechippyglasgow.com,"['fish and chips\n120', 'haddock\n18', 'batter\n18', 'supper\n15', 'wine\n14', 'groupon\n9', 'deal\n9', 'stairs\n8', 'sole\n7', 'tartare sauce\n6']",55.8597729,-4.2535313
Steak Cattle & Roll,4.3,(340),Hamburger restaurant,$$,"17 Bell St, Glasgow G1 1NU, United Kingdom
Located in: Merchant Square",+44 141 258 6500,steakcattleandroll.co.uk,"['vegan\n17', 'cocktails\n13', 'mac and cheese\n4', 'nacho\n4', 'value\n4', 'brisket\n3', 'portion sizes\n3', 'sweet potato fries\n3', 'sides\n3']",55.8582433,-4.2451563
Soho Pizzeria & Cocktail Bar,4.3,(566),Pizza restaurant,$$,"City Centre, 84 Miller St, Glasgow G1 1DT, United Kingdom",+44 141 221 1568,sohoglasgow.com,"['value\n11', 'music\n10', 'night\n9', 'haggis\n6', 'courses\n6', 'gluten free\n6', 'soup\n5', 'steak\n5', 'cheesecake\n4', 'mussels\n3']",55.859611,-4.250621
Mediterraneo Italian Restaurant & Champagne Bar,4.3,(903),Italian restaurant,$$,"159 Ingram St, Glasgow G1 1DW, United Kingdom",+44 141 552 0460,medglasgow.com,"['value\n20', 'cocktails\n15', 'music\n15', 'pasta\n15', 'night\n14', 'choice\n11', 'atmosphere\n8', 'course\n7', 'food service\n6', 'afternoon\n5']",55.8596603,-4.2482622
Sarti,4.5,(393),Italian restaurant,$$,"133 Wellington St, Glasgow G2 2XD, United Kingdom",+44 141 248 2228,sarti.co.uk,"['wine\n12', 'atmosphere\n7', 'breakfast\n6', 'choice\n6', 'gluten free\n4', 'seafood\n4', 'christmas\n3', 'sausage\n3', 'value\n3', 'dining\n3']",55.8638878,-4.259323
